transaction_date,amount,description,transaction_type,category_id,transaction_code
2018-03-05,761.59,Credit Card Payment,credit,4,UNKNOWN MERCHANT #ODJZMN
2018-03-05,761.59,Credit Card Payment,debit,4,UNKNOWN MERCHANT #DJCORP
2018-03-07,3.5,Starbucks,debit,3,DUNKIN #34567 #NIXJS2
2018-03-08,34.9,BP,debit,9,CASEY'S GENERAL STORE 6672 #U3NGYO
2018-03-08,52.0,Gas Company,debit,22,WATER DEPARTMENT PAYMENT #T7JRTG
2018-03-09,20.72,Grocery Store,debit,10,WALMART SUPERCENTER #6HFEVY
2018-03-09,5.09,Grocery Store,debit,10,JEWEL-OSCO #IIHZMJ
2018-03-09,10.69,Spotify,debit,17,YOUTUBE MUSIC #5NVVD4
2018-03-12,19.35,Grocery Store,debit,10,JEWEL-OSCO #0L2FZY
2018-03-12,89.52,Phone Company,debit,14,AT&T MOBILE SERVICE #A7WEA7
2018-03-13,45.75,Amazon,debit,20,TARGET STORE 1456 #GPA9HZ
2018-03-14,22.5,Grocery Store,debit,10,WALMART SUPERCENTER #630N0H
2018-03-14,8.49,Brunch Restaurant,debit,19,LOCAL DINER PURCHASE #YWH27O
2018-03-15,3.5,Starbucks,debit,3,PEET'S COFFEE ROASTERS #FOC3AB
2018-03-15,60.0,Power Company,debit,22,CITY ELECTRIC BILL #RJZFBE
2018-03-16,2000.0,Biweekly Paycheck,credit,18,UNKNOWN MERCHANT #5E01GR
2018-03-17,19.5,Brewing Company,debit,1,TIPSY TAP BAR & GRILL #Z402I2
2018-03-17,23.34,Pizza Place,debit,7,MCDONALD'S #18452 #3R4RC2
2018-03-19,36.48,Mediterranean Restaurant,debit,19,OLIVE GARDEN 4452 #R10A25
2018-03-19,35.0,City Water Charges,debit,22,WATER DEPARTMENT PAYMENT #3H0MNQ
2018-03-20,14.97,Amazon,debit,20,WALMART ONLINE ORDER #DSJPFT
2018-03-22,30.55,BP,debit,9,CASEY'S GENERAL STORE 6672 #BR3CER
2018-03-23,559.91,Credit Card Payment,credit,4,UNKNOWN MERCHANT #XR2H5I
2018-03-23,559.91,Credit Card Payment,debit,4,UNKNOWN MERCHANT #XIFJ9Y
2018-03-23,11.76,Grocery Store,debit,10,JEWEL-OSCO #H2PK3O
2018-03-26,74.99,Internet Service Provider,debit,13,COMCAST XFINITY BILL #PU52GZ
2018-03-28,16.06,Grocery Store,debit,10,JEWEL-OSCO #BE8A11
2018-03-28,24.98,Pizza Place,debit,19,OLIVE GARDEN 4452 #5VGZZD
2018-03-29,17.64,Steakhouse,debit,19,CHILI'S GRILL & BAR #L6Y9GE
2018-03-30,9.09,Grocery Store,debit,10,JEWEL-OSCO #ZVO4HM
2018-03-30,2000.0,Biweekly Paycheck,credit,18,UNKNOWN MERCHANT #1XKNZ1
2018-03-31,38.32,Belgian Restaurant,debit,19,CHILI'S GRILL & BAR #2XYJA1
2018-03-31,24.74,Chili's,debit,19,CHILI'S GRILL & BAR #Q1NPG0
2018-03-31,41.16,Greek Restaurant,debit,19,LOCAL DINER PURCHASE #DCASKK
2018-04-01,80.79,Grocery Store,debit,10,JEWEL-OSCO #MP1MUG
2018-04-01,59.48,Brewing Company,debit,19,LOCAL DINER PURCHASE #TH21BO
2018-04-01,13.13,Amazon,debit,20,TARGET STORE 1456 #K178UO
2018-04-02,817.14,Credit Card Payment,credit,4,UNKNOWN MERCHANT #RJ0345
2018-04-02,817.14,Credit Card Payment,debit,4,UNKNOWN MERCHANT #0VH43D
2018-04-02,82.36,Grocery Store,debit,10,WALMART SUPERCENTER #XC95UO
2018-04-02,13.89,Hardware Store,debit,12,MENARDS ROCKFORD #TXXNLN
2018-04-02,1247.44,Mortgage Payment,debit,15,APARTMENT RENT PAYMENT #H2Z984
2018-04-03,6.41,Amazon Video,debit,16,FANDANGO MOVIE PURCHASE #G0KFFD
2018-04-04,363.08,Credit Card Payment,credit,4,UNKNOWN MERCHANT #C52PM9
2018-04-04,363.08,Credit Card Payment,debit,4,UNKNOWN MERCHANT #1J0ZYU
2018-04-04,11.76,Netflix,debit,16,REGAL CINEMAS #Y3Z3JG
2018-04-06,4.58,Chevron,debit,9,CASEY'S GENERAL STORE 6672 #I3PPMX
2018-04-06,9.76,Tiny Deli,debit,19,OLIVE GARDEN 4452 #V5DAB4
2018-04-08,22.0,Irish Pub,debit,19,OLIVE GARDEN 4452 #A6TTFQ
2018-04-09,6.48,Blue Sky Market,debit,10,WALMART SUPERCENTER #OPKSR3
2018-04-09,10.69,Spotify,debit,17,SPOTIFY PREMIUM #SFP52B
2018-04-09,30.0,Gas Company,debit,22,NATURAL GAS SERVICE #8D1JD9
2018-04-11,89.52,Phone Company,debit,14,AT&T MOBILE SERVICE #CQHUSY
2018-04-12,7.0,Starbucks,debit,3,SQ *STARBUCKS STORE 1123 #YOZZ9H
2018-04-12,30.0,Barbershop,debit,11,SPORT CLIPS HAIRCUT #M22NEV
2018-04-13,37.98,BP,debit,9,SHELL OIL #1QG3ZN
2018-04-13,2000.0,Biweekly Paycheck,credit,18,UNKNOWN MERCHANT #KJ1DJB
2018-04-13,10.66,American Tavern,debit,19,OLIVE GARDEN 4452 #2XUSR8
2018-04-14,11.61,Hardware Store,debit,12,HOME DEPOT 5244 #G9OOSC
2018-04-14,41.0,American Tavern,debit,19,CHILI'S GRILL & BAR #6ARYQY
2018-04-16,75.0,State Farm,debit,2,STATE FARM AUTO BILL #D69T1R
2018-04-16,35.0,City Water Charges,debit,22,WATER DEPARTMENT PAYMENT #A4E1W4
2018-04-18,60.0,Power Company,debit,22,NATURAL GAS SERVICE #O1JW8R
2018-04-20,24.22,Thai Restaurant,debit,19,OLIVE GARDEN 4452 #KSGXGE
2018-04-21,4.32,Grocery Store,debit,10,TARGET GROCERY #4LKB2N
2018-04-21,35.15,American Tavern,debit,19,CHILI'S GRILL & BAR #0DGYJN
2018-04-22,21.32,Grocery Store,debit,10,JEWEL-OSCO #3S1UJ2
2018-04-23,42.7,Hardware Store,debit,12,MENARDS ROCKFORD #7Y89GI
2018-04-24,224.7,Hardware Store,debit,12,LOWE'S STORE 8832 #HXSEKA
2018-04-24,41.34,Amazon,debit,20,WALMART ONLINE ORDER #I4RYLD
2018-04-25,210.79,Hardware Store,debit,12,MENARDS ROCKFORD #W1458H
2018-04-25,74.99,Internet Service Provider,debit,13,CHARTER SPECTRUM #N0HHWH
2018-04-26,769.72,Credit Card Payment,credit,4,UNKNOWN MERCHANT #66YL79
2018-04-26,1216.94,Credit Card Payment,credit,4,UNKNOWN MERCHANT #5NMQ73
2018-04-26,1216.94,Credit Card Payment,debit,4,UNKNOWN MERCHANT #P6FVX9
2018-04-27,769.72,Credit Card Payment,debit,4,UNKNOWN MERCHANT #X2N8X2
2018-04-27,2000.0,Biweekly Paycheck,credit,18,UNKNOWN MERCHANT #M7GYXU
2018-04-28,22.98,Grocery Store,debit,10,JEWEL-OSCO #DJWQCJ
2018-04-29,39.0,QuikTrip,debit,9,SHELL OIL #DN70QO
2018-04-29,51.05,Grocery Store,debit,10,TARGET GROCERY #2OHZS7
2018-04-29,68.47,Hardware Store,debit,12,MENARDS ROCKFORD #UJE03J
2018-04-30,5.09,Grocery Store,debit,10,JEWEL-OSCO #KBZ836
2018-05-01,13.13,Amazon,debit,20,TARGET STORE 1456 #RC4CEG
2018-05-02,1247.44,Mortgage Payment,debit,15,ZILLOW RENT PORTAL #SZ7VB0
2018-05-03,49.72,Amazon,debit,20,AMAZON.COM PURCHASE #SGULRL
2018-05-04,42.23,Grocery Store,debit,10,TARGET GROCERY #O1I5UH
2018-05-04,11.76,Netflix,debit,16,REGAL CINEMAS #QVOXEH
2018-05-05,7.27,Bojangles,debit,7,TACO BELL #2231 #CASPMZ
2018-05-05,20.52,Pizza Place,debit,7,MCDONALD'S #18452 #ITXFLL
2018-05-06,22.37,Hardware Store,debit,12,MENARDS ROCKFORD #7YZ07V
2018-05-06,117.69,Amazon,debit,20,WALMART ONLINE ORDER #3O3MTQ
2018-05-09,601.4,Credit Card Payment,credit,4,UNKNOWN MERCHANT #FQUSJD
2018-05-09,601.4,Credit Card Payment,debit,4,UNKNOWN MERCHANT #SKEXH4
2018-05-09,10.69,Spotify,debit,17,YOUTUBE MUSIC #B78RF1
2018-05-09,30.0,Gas Company,debit,22,WATER DEPARTMENT PAYMENT #C3WO0Z
2018-05-10,111.18,Phone Company,debit,14,VERIZON WIRELESS BILL #JKFNYI
2018-05-11,57.32,Grocery Store,debit,10,WALMART SUPERCENTER #PTQBGH
2018-05-11,2000.0,Biweekly Paycheck,credit,18,UNKNOWN MERCHANT #H2J7KN
2018-05-11,8000.0,Mike's Construction Co.,debit,12,LOWE'S STORE 8832 #U08FIC
2018-05-12,27.77,Liquor Store,debit,1,RED LANTERN PUB #GVFLQH
2018-05-12,33.3,Shell,debit,9,CASEY'S GENERAL STORE 6672 #G70RRO
2018-05-12,78.0,Fancy Restaurant,debit,19,LOCAL DINER PURCHASE #2P47XB
2018-05-14,67.63,Grocery Store,debit,10,WALMART SUPERCENTER #QCUFO8
2018-05-15,60.0,Power Company,debit,22,WATER DEPARTMENT PAYMENT #3MW4PZ
2018-05-17,29.0,Barbershop,debit,11,LOCAL BARBER SHOP #ZLGFRJ
2018-05-17,35.0,City Water Charges,debit,22,WATER DEPARTMENT PAYMENT #TCLO5I
2018-05-18,75.0,State Farm,debit,2,STATE FARM AUTO BILL #XI1XJA
2018-05-18,6.41,Amazon,debit,20,TARGET STORE 1456 #JWMI5Q
2018-05-19,207.08,Credit Card Payment,credit,4,UNKNOWN MERCHANT #ZC7Q3Z
2018-05-19,31.0,Grocery Store,debit,10,WALMART SUPERCENTER #W7BCJL
2018-05-19,23.26,Greek Restaurant,debit,19,LOCAL DINER PURCHASE #HN7SNQ
2018-05-21,283.07,Credit Card Payment,credit,4,UNKNOWN MERCHANT #GLBBTJ
2018-05-21,26.04,Thai Restaurant,debit,19,LOCAL DINER PURCHASE #O485SE
2018-05-21,32.5,Amazon,debit,20,WALMART ONLINE ORDER #5NY5QQ
2018-05-22,283.07,Credit Card Payment,debit,4,UNKNOWN MERCHANT #ANXK84
2018-05-24,39.44,BP,debit,9,MOBIL FUEL STATION #Q64CIE
2018-05-25,74.99,Internet Service Provider,debit,13,COMCAST XFINITY BILL #BZVTMR
2018-05-25,2000.0,Biweekly Paycheck,credit,18,UNKNOWN MERCHANT #91TC1P
2018-05-28,9.62,Movie Theater,debit,6,NETFLIX.COM #TADJZX
2018-05-28,91.03,Grocery Store,debit,10,TARGET GROCERY #YDR7PA
2018-05-29,20.0,Movie Theater,debit,16,REGAL CINEMAS #JVN1WV
2018-05-29,6.25,Movie Theater,debit,16,FANDANGO MOVIE PURCHASE #Q42DMK
2018-06-01,38.63,BP,debit,9,CASEY'S GENERAL STORE 6672 #2WVZBW
2018-06-01,6.11,Grocery Store,debit,10,TARGET GROCERY #XKBV7P
2018-06-01,13.13,Amazon,debit,20,WALMART ONLINE ORDER #NFOYDS
2018-06-02,235.18,Credit Card Payment,credit,4,UNKNOWN MERCHANT #DVEU17
2018-06-02,466.36,Credit Card Payment,credit,4,UNKNOWN MERCHANT #4BDN2Q
2018-06-03,65.81,Italian Restaurant,debit,19,OLIVE GARDEN 4452 #HAPR7S
2018-06-04,235.18,Credit Card Payment,debit,4,UNKNOWN MERCHANT #YSUOGB
2018-06-04,24.12,Grocery Store,debit,10,JEWEL-OSCO #Y6GF2W
2018-06-04,1247.44,Mortgage Payment,debit,15,APARTMENT RENT PAYMENT #OHPMCH
2018-06-04,11.76,Netflix,debit,16,REGAL CINEMAS #ZS4904
2018-06-06,4.0,Starbucks,debit,3,DUNKIN #34567 #VJ6A0Y
2018-06-08,2000.0,Biweekly Paycheck,credit,18,UNKNOWN MERCHANT #Y33F0I
2018-06-08,30.0,Gas Company,debit,22,WATER DEPARTMENT PAYMENT #L6ATFY
2018-06-09,16.18,Chick-Fil-A,debit,7,MCDONALD'S #18452 #JERLFL
2018-06-09,9.56,Grocery Store,debit,10,JEWEL-OSCO #4AMYC6
2018-06-09,10.69,Spotify,debit,17,APPLE MUSIC SUBSCRIPTION #WKHMLX
2018-06-10,46.01,Grocery Store,debit,10,JEWEL-OSCO #CLMAF8
2018-06-12,12.55,Grocery Store,debit,10,TARGET GROCERY #U0XF0E
2018-06-12,89.46,Phone Company,debit,14,AT&T MOBILE SERVICE #4S47GU
2018-06-14,283.44,Credit Card Payment,credit,4,UNKNOWN MERCHANT #JYGJYG
2018-06-14,283.44,Credit Card Payment,debit,4,UNKNOWN MERCHANT #FHAX8L
2018-06-14,7.02,Grocery Store,debit,10,TARGET GROCERY #2JY3PO
2018-06-15,60.0,Power Company,debit,22,NATURAL GAS SERVICE #0LP7ZQ
2018-06-16,3.0,Starbucks,debit,3,PEET'S COFFEE ROASTERS #4UVQFZ
2018-06-16,22.66,Pizza Place,debit,7,CHIPOTLE MEXICAN GRILL #6YE556
2018-06-16,13.9,Grocery Store,debit,10,TARGET GROCERY #D3KE9O
2018-06-18,35.0,City Water Charges,debit,22,CITY ELECTRIC BILL #6D72PN
2018-06-19,38.52,Shell,debit,9,CASEY'S GENERAL STORE 6672 #Z7DW9J
2018-06-19,2.69,Grocery Store,debit,10,WALMART SUPERCENTER #MFGVG6
2018-06-20,75.0,State Farm,debit,2,GEICO INSURANCE PAYMENT #8W82L7
2018-06-20,89.45,Credit Card Payment,credit,4,UNKNOWN MERCHANT #57ZT65
2018-06-20,30.0,Barbershop,debit,11,LOCAL BARBER SHOP #AD8PKJ
2018-06-21,89.45,Credit Card Payment,debit,4,UNKNOWN MERCHANT #VQVH9R
2018-06-22,2000.0,Biweekly Paycheck,credit,18,UNKNOWN MERCHANT #CTIYBV
2018-06-23,8.5,Brunch Restaurant,debit,19,LOCAL DINER PURCHASE #C97GGB
2018-06-23,74.97,Amazon,debit,20,AMAZON.COM PURCHASE #9IJQ2Q
2018-06-25,942.76,Credit Card Payment,credit,4,UNKNOWN MERCHANT #OLAOW6
2018-06-25,942.76,Credit Card Payment,debit,4,UNKNOWN MERCHANT #VOQBTQ
2018-06-25,74.99,Internet Service Provider,debit,13,COMCAST XFINITY BILL #8SROEA
2018-06-26,9.62,Grocery Store,debit,10,JEWEL-OSCO #YP6J0I
2018-06-27,3.5,Starbucks,debit,3,PEET'S COFFEE ROASTERS #4OAM8Y
2018-06-27,22.66,Pizza Place,debit,7,CHIPOTLE MEXICAN GRILL #D73Y0H
2018-06-28,7.57,Grocery Store,debit,10,TARGET GROCERY #TCEDJJ
2018-07-01,13.13,Amazon,debit,20,TARGET STORE 1456 #I8TCIK
2018-07-02,1247.44,Mortgage Payment,debit,15,APARTMENT RENT PAYMENT #4F8N9K
2018-07-02,25.0,Movie Theater,debit,16,AMC THEATERS TICKET #4D1GF9
2018-07-02,36.44,American Tavern,debit,19,OLIVE GARDEN 4452 #JGQ5HD
2018-07-04,34.48,BP,debit,9,SHELL OIL #HBJ5AJ
2018-07-04,11.76,Netflix,debit,16,FANDANGO MOVIE PURCHASE #VR1SPG
2018-07-05,44.25,Grocery Store,debit,10,JEWEL-OSCO #VK0PGZ
2018-07-05,212.32,Amazon,debit,20,WALMART ONLINE ORDER #2VHPN6
2018-07-06,6.41,Amazon Video,debit,16,AMC THEATERS TICKET #EYMYT8
2018-07-06,2000.0,Biweekly Paycheck,credit,18,UNKNOWN MERCHANT #8122SQ
2018-07-08,259.87,Credit Card Payment,credit,4,UNKNOWN MERCHANT #YANBG7
2018-07-09,242.16,Credit Card Payment,credit,4,UNKNOWN MERCHANT #GSZ1WH
2018-07-09,259.87,Credit Card Payment,debit,4,UNKNOWN MERCHANT #1R9L9L
2018-07-09,10.69,Spotify,debit,17,SPOTIFY PREMIUM #HCOLZS
2018-07-10,242.16,Credit Card Payment,debit,4,UNKNOWN MERCHANT #XIHNMX
2018-07-10,5.39,Grocery Store,debit,10,JEWEL-OSCO #AOZPLX
2018-07-10,30.0,Gas Company,debit,22,CITY ELECTRIC BILL #TWHFKV
2018-07-11,89.46,Phone Company,debit,14,VERIZON WIRELESS BILL #N29VXU
2018-07-14,33.51,Go Mart,debit,9,MOBIL FUEL STATION #CNIKFC
2018-07-15,36.24,Circle K,debit,9,SHELL OIL #OA94IT
2018-07-17,15.23,Wendy's,debit,7,MCDONALD'S #18452 #HRYPN6
2018-07-17,35.0,City Water Charges,debit,22,NATURAL GAS SERVICE #T7JR3I
2018-07-17,60.0,Power Company,debit,22,WATER DEPARTMENT PAYMENT #SZHB3H
2018-07-18,28.54,Irish Restaurant,debit,1,TIPSY TAP BAR & GRILL #UK6H4M
2018-07-18,75.0,State Farm,debit,2,STATE FARM AUTO BILL #H44RVB
2018-07-20,61.43,Credit Card Payment,credit,4,UNKNOWN MERCHANT #DHSY9K
2018-07-20,102.88,Credit Card Payment,credit,4,UNKNOWN MERCHANT #VKAFYH
2018-07-20,102.88,Credit Card Payment,debit,4,UNKNOWN MERCHANT #MPYTRV
2018-07-20,2000.0,Biweekly Paycheck,credit,18,UNKNOWN MERCHANT #JVD6HI
2018-07-21,28.93,Grocery Store,debit,10,TARGET GROCERY #DDLPLL
2018-07-21,30.0,Barbershop,debit,11,LOCAL BARBER SHOP #Q09JLN
2018-07-23,61.43,Credit Card Payment,debit,4,UNKNOWN MERCHANT #2VLHJQ
2018-07-23,9.58,Starbucks,debit,7,MCDONALD'S #18452 #K6GDTC
2018-07-24,26.59,American Tavern,debit,19,CHILI'S GRILL & BAR #GPFPFK
2018-07-25,74.99,Internet Service Provider,debit,13,CHARTER SPECTRUM #65RMAI
2018-07-26,33.67,Conoco,debit,9,SHELL OIL #5Q08FK
2018-07-28,7.61,Grocery Store,debit,10,TARGET GROCERY #MZPI4J
2018-07-30,34.38,American Tavern,debit,19,LOCAL DINER PURCHASE #ZY42ZM
2018-07-31,6.6,Brewing Company,debit,1,TIPSY TAP BAR & GRILL #LG41VB
2018-08-01,13.13,Amazon,debit,20,WALMART ONLINE ORDER #MZDUDV
2018-08-02,816.27,Credit Card Payment,credit,4,UNKNOWN MERCHANT #2I8OUY
2018-08-02,40.44,Shell,debit,9,SHELL OIL #FJFS5G
2018-08-02,1247.44,Mortgage Payment,debit,15,APARTMENT RENT PAYMENT #6GEP9N
2018-08-03,6.27,Grocery Store,debit,10,JEWEL-OSCO #EKCEJ2
2018-08-03,2000.0,Biweekly Paycheck,credit,18,UNKNOWN MERCHANT #UOT4BK
2018-08-04,11.76,Netflix,debit,16,AMC THEATERS TICKET #UOQGVL
2018-08-06,76.47,Amazon,debit,20,WALMART ONLINE ORDER #AL17RG
2018-08-09,10.69,Spotify,debit,17,YOUTUBE MUSIC #QT8GA9
2018-08-09,30.0,Gas Company,debit,22,WATER DEPARTMENT PAYMENT #YS4GV6
2018-08-10,89.4,Phone Company,debit,14,VERIZON WIRELESS BILL #OVHVRF
2018-08-11,13.67,Chick-Fil-A,debit,7,TACO BELL #2231 #LIDZKK
2018-08-11,33.66,Valero,debit,9,SHELL OIL #A64XIY
2018-08-15,269.56,Credit Card Payment,credit,4,UNKNOWN MERCHANT #OJV4PR
2018-08-15,159.38,Credit Card Payment,credit,4,UNKNOWN MERCHANT #UO6TWQ
2018-08-15,41.07,Shell,debit,9,CASEY'S GENERAL STORE 6672 #8PPT2W
2018-08-15,5.64,Grocery Store,debit,10,WALMART SUPERCENTER #0O88CL
2018-08-15,60.0,Power Company,debit,22,NATURAL GAS SERVICE #BZRJXW
2018-08-16,269.56,Credit Card Payment,debit,4,UNKNOWN MERCHANT #HS509P
2018-08-16,35.0,City Water Charges,debit,22,NATURAL GAS SERVICE #2V48RJ
2018-08-17,2000.0,Biweekly Paycheck,credit,18,UNKNOWN MERCHANT #2FNC6T
2018-08-17,14.98,Amazon,debit,20,WALMART ONLINE ORDER #6MFUN5
2018-08-18,23.47,Amazon,debit,20,WALMART ONLINE ORDER #66BWTW
2018-08-20,75.0,State Farm,debit,2,PROGRESSIVE INSURANCE #DTK4YH
2018-08-21,34.18,Credit Card Payment,credit,4,UNKNOWN MERCHANT #GNLM0K
2018-08-21,99.76,Credit Card Payment,credit,4,UNKNOWN MERCHANT #P91D4N
2018-08-21,99.76,Credit Card Payment,debit,4,UNKNOWN MERCHANT #300XME
2018-08-22,34.18,Credit Card Payment,debit,4,UNKNOWN MERCHANT #VEMBZ7
2018-08-24,42.31,American Tavern,debit,19,CHILI'S GRILL & BAR #YGRB0L
2018-08-27,74.99,Internet Service Provider,debit,13,CHARTER SPECTRUM #MN4VU6
2018-08-30,35.65,Shell,debit,9,CASEY'S GENERAL STORE 6672 #65SO8G
2018-08-31,11.64,Grocery Store,debit,10,TARGET GROCERY #5WKV4A
2018-08-31,2000.0,Biweekly Paycheck,credit,18,UNKNOWN MERCHANT #V5BBYP
2018-09-01,47.4,Brewing Company,debit,1,TIPSY TAP BAR & GRILL #7VZ28T
2018-09-01,13.13,Amazon,debit,20,AMAZON.COM PURCHASE #CUI5OL
2018-09-02,109.83,Amazon,debit,20,WALMART ONLINE ORDER #4D80YS
2018-09-04,687.29,Credit Card Payment,credit,4,UNKNOWN MERCHANT #998KG2
