Date,Description,Amount,Transaction Type,Category,Account Name,Transaction Class,is_weekend,Transaction Code
2018-02-05,Credit Card Payment,145.14,credit,Credit Card Payment,Platinum Card,Transfer,False,UNKNOWN MERCHANT #IF0KRH
2018-02-06,Credit Card Payment,154.13,credit,Credit Card Payment,Silver Card,Transfer,False,UNKNOWN MERCHANT #CL6MGI
2018-02-07,Credit Card Payment,154.13,debit,Credit Card Payment,Checking,Transfer,False,UNKNOWN MERCHANT #EZB1FY
2018-02-07,Gas Company,65.0,debit,Utilities,Checking,Expense,False,WATER DEPARTMENT PAYMENT #EJZCQ8
2018-02-09,Barbershop,30.0,debit,Haircut,Platinum Card,Expense,False,GREAT CLIPS SALON #3SIMCJ
2018-02-09,Spotify,10.69,debit,Music,Platinum Card,Expense,False,SPOTIFY PREMIUM #0PK88M
2018-02-10,Bojangles,10.66,debit,Fast Food,Platinum Card,Expense,True,MCDONALD'S #18452 #C6BLJR
2018-02-11,Fancy Restaurant,106.8,debit,Restaurants,Platinum Card,Expense,True,LOCAL DINER PURCHASE #3V630O
2018-02-12,Shell,36.47,debit,Gas & Fuel,Silver Card,Expense,False,SHELL OIL #ESBNRH
2018-02-12,Phone Company,89.52,debit,Mobile Phone,Checking,Expense,False,AT&T MOBILE SERVICE #S1WEEN
2018-02-14,Brewing Company,14.0,debit,Alcohol & Bars,Silver Card,Expense,False,RED LANTERN PUB #ARGN52
2018-02-15,American Tavern,10.0,debit,Restaurants,Platinum Card,Expense,False,OLIVE GARDEN 4452 #OED3BZ
2018-02-15,Power Company,60.0,debit,Utilities,Checking,Expense,False,CITY ELECTRIC BILL #B9ARIB
2018-02-16,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,Income,False,UNKNOWN MERCHANT #9E6O6U
2018-02-16,Brunch Restaurant,8.0,debit,Restaurants,Silver Card,Expense,False,OLIVE GARDEN 4452 #CA2VDX
2018-02-16,City Water Charges,35.0,debit,Utilities,Checking,Expense,False,NATURAL GAS SERVICE #225YH0
2018-02-20,Grocery Store,35.95,debit,Groceries,Silver Card,Expense,False,JEWEL-OSCO #ZOLC2M
2018-02-20,Mexican Restaurant,23.51,debit,Restaurants,Silver Card,Expense,False,CHILI'S GRILL & BAR #RYGS8P
2018-02-21,Starbucks,2.0,debit,Coffee Shops,Platinum Card,Expense,False,DUNKIN #34567 #YJO7ET
2018-02-22,Starbucks,4.0,debit,Coffee Shops,Silver Card,Expense,False,SQ *STARBUCKS STORE 1123 #YM2NE0
2018-02-26,Credit Card Payment,765.37,credit,Credit Card Payment,Platinum Card,Transfer,False,UNKNOWN MERCHANT #RFWPPL
2018-02-26,Credit Card Payment,156.11,credit,Credit Card Payment,Silver Card,Transfer,False,UNKNOWN MERCHANT #N6VAEB
2018-02-26,Credit Card Payment,765.37,debit,Credit Card Payment,Checking,Transfer,False,UNKNOWN MERCHANT #U249IK
2018-02-26,Internet Service Provider,74.99,debit,Internet,Checking,Expense,False,COMCAST XFINITY BILL #YDMU6B
2018-02-26,American Tavern,85.52,debit,Restaurants,Silver Card,Expense,False,OLIVE GARDEN 4452 #9NM0ZB
2018-02-26,Gas Station,32.21,debit,Gas & Fuel,Silver Card,Expense,False,MOBIL FUEL STATION #DY3DJU
2018-02-27,Credit Card Payment,156.11,debit,Credit Card Payment,Checking,Transfer,False,UNKNOWN MERCHANT #DRWCCR
2018-03-01,Grocery Store,32.07,debit,Groceries,Silver Card,Expense,False,TARGET GROCERY #GOR1YC
2018-03-01,Amazon,13.13,debit,Shopping,Platinum Card,Expense,False,TARGET STORE 1456 #9LNHIQ
2018-03-02,Mortgage Payment,1247.44,debit,Mortgage & Rent,Checking,Expense,False,MORTGAGE LOAN PAYMENT #N9SODY
2018-03-02,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,Income,False,UNKNOWN MERCHANT #JX45UK
2018-03-03,Grocery Store,23.74,debit,Groceries,Silver Card,Expense,True,WALMART SUPERCENTER #3IMQIM
2018-03-04,Grocery Store,10.69,debit,Groceries,Platinum Card,Expense,True,WALMART SUPERCENTER #ME0OOU
2018-03-04,Netflix,11.76,debit,Movies & DVDs,Platinum Card,Expense,True,REGAL CINEMAS #NM88CW
2018-03-04,BBQ Restaurant,42.24,debit,Restaurants,Platinum Card,Expense,True,CHILI'S GRILL & BAR #4K8R9O
2018-03-05,Starbucks,3.0,debit,Coffee Shops,Platinum Card,Expense,False,SQ *STARBUCKS STORE 1123 #FE0WJG
2018-03-05,Credit Card Payment,761.59,credit,Credit Card Payment,Silver Card,Transfer,False,UNKNOWN MERCHANT #0R7MOY
2018-03-05,Credit Card Payment,761.59,debit,Credit Card Payment,Checking,Transfer,False,UNKNOWN MERCHANT #IFWHLP
2018-03-07,Starbucks,3.5,debit,Coffee Shops,Platinum Card,Expense,False,PEET'S COFFEE ROASTERS #4ZST0O
2018-03-08,BP,34.9,debit,Gas & Fuel,Platinum Card,Expense,False,SHELL OIL #E7WE03
2018-03-08,Gas Company,52.0,debit,Utilities,Checking,Expense,False,CITY ELECTRIC BILL #RL2SF5
2018-03-09,Grocery Store,20.72,debit,Groceries,Platinum Card,Expense,False,TARGET GROCERY #6KLX9X
2018-03-09,Grocery Store,5.09,debit,Groceries,Platinum Card,Expense,False,JEWEL-OSCO #1626RO
2018-03-09,Spotify,10.69,debit,Music,Platinum Card,Expense,False,YOUTUBE MUSIC #HHUHMZ
2018-03-12,Grocery Store,19.35,debit,Groceries,Platinum Card,Expense,False,WALMART SUPERCENTER #N8RRY4
2018-03-12,Phone Company,89.52,debit,Mobile Phone,Checking,Expense,False,AT&T MOBILE SERVICE #QAOZ9E
2018-03-13,Amazon,45.75,debit,Shopping,Platinum Card,Expense,False,TARGET STORE 1456 #GBQAZS
2018-03-14,Grocery Store,22.5,debit,Groceries,Platinum Card,Expense,False,JEWEL-OSCO #N2YY2Z
2018-03-14,Brunch Restaurant,8.49,debit,Restaurants,Platinum Card,Expense,False,OLIVE GARDEN 4452 #YMUPOB
2018-03-15,Starbucks,3.5,debit,Coffee Shops,Platinum Card,Expense,False,SQ *STARBUCKS STORE 1123 #V21XDC
2018-03-15,Power Company,60.0,debit,Utilities,Checking,Expense,False,CITY ELECTRIC BILL #R5PHLO
2018-03-16,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,Income,False,UNKNOWN MERCHANT #4V3VAZ
2018-03-17,Brewing Company,19.5,debit,Alcohol & Bars,Silver Card,Expense,True,MIXOLOGY LOUNGE #U1STLA
2018-03-17,Pizza Place,23.34,debit,Fast Food,Platinum Card,Expense,True,CHIPOTLE MEXICAN GRILL #786II1
2018-03-19,Mediterranean Restaurant,36.48,debit,Restaurants,Silver Card,Expense,False,OLIVE GARDEN 4452 #4LMXD7
2018-03-19,City Water Charges,35.0,debit,Utilities,Checking,Expense,False,WATER DEPARTMENT PAYMENT #YN2MDH
2018-03-20,Amazon,14.97,debit,Shopping,Platinum Card,Expense,False,TARGET STORE 1456 #JVJCWD
2018-03-22,BP,30.55,debit,Gas & Fuel,Silver Card,Expense,False,CASEY'S GENERAL STORE 6672 #DNYOTC
2018-03-23,Credit Card Payment,559.91,credit,Credit Card Payment,Platinum Card,Transfer,False,UNKNOWN MERCHANT #U1SCEV
2018-03-23,Credit Card Payment,559.91,debit,Credit Card Payment,Checking,Transfer,False,UNKNOWN MERCHANT #K9BBU3
2018-03-23,Grocery Store,11.76,debit,Groceries,Silver Card,Expense,False,TARGET GROCERY #HZ613U
2018-03-26,Internet Service Provider,74.99,debit,Internet,Checking,Expense,False,COMCAST XFINITY BILL #KTZYLN
2018-03-28,Grocery Store,16.06,debit,Groceries,Silver Card,Expense,False,JEWEL-OSCO #TSPQSM
2018-03-28,Pizza Place,24.98,debit,Restaurants,Silver Card,Expense,False,CHILI'S GRILL & BAR #5OBY6C
2018-03-29,Steakhouse,17.64,debit,Restaurants,Silver Card,Expense,False,CHILI'S GRILL & BAR #KX8KBO
2018-03-30,Grocery Store,9.09,debit,Groceries,Silver Card,Expense,False,JEWEL-OSCO #4YW8DW
2018-03-30,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,Income,False,UNKNOWN MERCHANT #J54PM4
2018-03-31,Belgian Restaurant,38.32,debit,Restaurants,Platinum Card,Expense,True,OLIVE GARDEN 4452 #MED25G
2018-03-31,Chili's,24.74,debit,Restaurants,Platinum Card,Expense,True,OLIVE GARDEN 4452 #393XCJ
2018-03-31,Greek Restaurant,41.16,debit,Restaurants,Silver Card,Expense,True,OLIVE GARDEN 4452 #M624P8
2018-04-01,Grocery Store,80.79,debit,Groceries,Platinum Card,Expense,True,JEWEL-OSCO #G0L8JN
2018-04-01,Brewing Company,59.48,debit,Restaurants,Platinum Card,Expense,True,OLIVE GARDEN 4452 #78Z36V
2018-04-01,Amazon,13.13,debit,Shopping,Platinum Card,Expense,True,WALMART ONLINE ORDER #NVWUL5
2018-04-02,Credit Card Payment,817.14,credit,Credit Card Payment,Silver Card,Transfer,False,UNKNOWN MERCHANT #8U9QRK
2018-04-02,Credit Card Payment,817.14,debit,Credit Card Payment,Checking,Transfer,False,UNKNOWN MERCHANT #N4UHNU
2018-04-02,Grocery Store,82.36,debit,Groceries,Platinum Card,Expense,False,WALMART SUPERCENTER #A4SFDR
2018-04-02,Hardware Store,13.89,debit,Home Improvement,Platinum Card,Expense,False,HOME DEPOT 5244 #2AFASQ
2018-04-02,Mortgage Payment,1247.44,debit,Mortgage & Rent,Checking,Expense,False,ZILLOW RENT PORTAL #LVO0RZ
2018-04-03,Amazon Video,6.41,debit,Movies & DVDs,Platinum Card,Expense,False,FANDANGO MOVIE PURCHASE #TSYUFS
2018-04-04,Credit Card Payment,363.08,credit,Credit Card Payment,Platinum Card,Transfer,False,UNKNOWN MERCHANT #10X2IK
2018-04-04,Credit Card Payment,363.08,debit,Credit Card Payment,Checking,Transfer,False,UNKNOWN MERCHANT #SHIR8M
2018-04-04,Netflix,11.76,debit,Movies & DVDs,Platinum Card,Expense,False,FANDANGO MOVIE PURCHASE #FVU8LQ
2018-04-06,Chevron,4.58,debit,Gas & Fuel,Platinum Card,Expense,False,MOBIL FUEL STATION #CS0VLA
2018-04-06,Tiny Deli,9.76,debit,Restaurants,Platinum Card,Expense,False,CHILI'S GRILL & BAR #ND1WLU
2018-04-08,Irish Pub,22.0,debit,Restaurants,Platinum Card,Expense,True,CHILI'S GRILL & BAR #7I198P
2018-04-09,Blue Sky Market,6.48,debit,Groceries,Silver Card,Expense,False,WALMART SUPERCENTER #AMDM4O
2018-04-09,Spotify,10.69,debit,Music,Platinum Card,Expense,False,YOUTUBE MUSIC #OD2MKU
2018-04-09,Gas Company,30.0,debit,Utilities,Checking,Expense,False,NATURAL GAS SERVICE #O4F8N9
2018-04-11,Phone Company,89.52,debit,Mobile Phone,Checking,Expense,False,VERIZON WIRELESS BILL #NUJWL1
2018-04-12,Starbucks,7.0,debit,Coffee Shops,Platinum Card,Expense,False,SQ *STARBUCKS STORE 1123 #5J7U9P
2018-04-12,Barbershop,30.0,debit,Haircut,Platinum Card,Expense,False,LOCAL BARBER SHOP #NRDRM8
2018-04-13,BP,37.98,debit,Gas & Fuel,Platinum Card,Expense,False,MOBIL FUEL STATION #UWP2KN
2018-04-13,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,Income,False,UNKNOWN MERCHANT #HN6E9Z
2018-04-13,American Tavern,10.66,debit,Restaurants,Platinum Card,Expense,False,LOCAL DINER PURCHASE #HUMLKR
2018-04-14,Hardware Store,11.61,debit,Home Improvement,Platinum Card,Expense,True,HOME DEPOT 5244 #F2NDQU
2018-04-14,American Tavern,41.0,debit,Restaurants,Platinum Card,Expense,True,LOCAL DINER PURCHASE #21AWBW
2018-04-16,State Farm,75.0,debit,Auto Insurance,Checking,Expense,False,GEICO INSURANCE PAYMENT #VQEFZC
2018-04-16,City Water Charges,35.0,debit,Utilities,Checking,Expense,False,NATURAL GAS SERVICE #20CB6R
2018-04-18,Power Company,60.0,debit,Utilities,Checking,Expense,False,WATER DEPARTMENT PAYMENT #PH12TN
2018-04-20,Thai Restaurant,24.22,debit,Restaurants,Silver Card,Expense,False,CHILI'S GRILL & BAR #8WSAC0
2018-04-21,Grocery Store,4.32,debit,Groceries,Silver Card,Expense,True,JEWEL-OSCO #XDRLCG
2018-04-21,American Tavern,35.15,debit,Restaurants,Silver Card,Expense,True,CHILI'S GRILL & BAR #R4XN55
2018-04-22,Grocery Store,21.32,debit,Groceries,Platinum Card,Expense,True,WALMART SUPERCENTER #D9FGJW
2018-04-23,Hardware Store,42.7,debit,Home Improvement,Silver Card,Expense,False,HOME DEPOT 5244 #JXBQD2
2018-04-24,Hardware Store,224.7,debit,Home Improvement,Platinum Card,Expense,False,HOME DEPOT 5244 #3TIXPS
2018-04-24,Amazon,41.34,debit,Shopping,Platinum Card,Expense,False,AMAZON.COM PURCHASE #ZIJ53F
2018-04-25,Hardware Store,210.79,debit,Home Improvement,Silver Card,Expense,False,HOME DEPOT 5244 #38VOVH
2018-04-25,Internet Service Provider,74.99,debit,Internet,Checking,Expense,False,AT&T INTERNET SERVICE #BAZPCF
2018-04-26,Credit Card Payment,769.72,credit,Credit Card Payment,Silver Card,Transfer,False,UNKNOWN MERCHANT #7PF6HQ
2018-04-26,Credit Card Payment,1216.94,credit,Credit Card Payment,Platinum Card,Transfer,False,UNKNOWN MERCHANT #TFOEQU
2018-04-26,Credit Card Payment,1216.94,debit,Credit Card Payment,Checking,Transfer,False,UNKNOWN MERCHANT #39REK1
2018-04-27,Credit Card Payment,769.72,debit,Credit Card Payment,Checking,Transfer,False,UNKNOWN MERCHANT #DUPO8S
2018-04-27,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,Income,False,UNKNOWN MERCHANT #IFIL2C
2018-04-28,Grocery Store,22.98,debit,Groceries,Silver Card,Expense,True,TARGET GROCERY #5RSVF3
2018-04-29,QuikTrip,39.0,debit,Gas & Fuel,Platinum Card,Expense,True,MOBIL FUEL STATION #O1JCS9
2018-04-29,Grocery Store,51.05,debit,Groceries,Platinum Card,Expense,True,JEWEL-OSCO #RP0UD4
2018-04-29,Hardware Store,68.47,debit,Home Improvement,Platinum Card,Expense,True,HOME DEPOT 5244 #Q7VOG9
2018-04-30,Grocery Store,5.09,debit,Groceries,Platinum Card,Expense,False,TARGET GROCERY #ZALVNC
2018-05-01,Amazon,13.13,debit,Shopping,Platinum Card,Expense,False,WALMART ONLINE ORDER #ZXT39R
2018-05-02,Mortgage Payment,1247.44,debit,Mortgage & Rent,Checking,Expense,False,ZILLOW RENT PORTAL #QFVK7R
2018-05-03,Amazon,49.72,debit,Shopping,Platinum Card,Expense,False,AMAZON.COM PURCHASE #AHPZZV
2018-05-04,Grocery Store,42.23,debit,Groceries,Platinum Card,Expense,False,TARGET GROCERY #FB6GZW
2018-05-04,Netflix,11.76,debit,Movies & DVDs,Platinum Card,Expense,False,REGAL CINEMAS #KPYEC3
2018-05-05,Bojangles,7.27,debit,Fast Food,Platinum Card,Expense,True,CHIPOTLE MEXICAN GRILL #FM0I4C
2018-05-05,Pizza Place,20.52,debit,Fast Food,Platinum Card,Expense,True,MCDONALD'S #18452 #OY0I4E
2018-05-06,Hardware Store,22.37,debit,Home Improvement,Platinum Card,Expense,True,MENARDS ROCKFORD #R1VGER
2018-05-06,Amazon,117.69,debit,Shopping,Platinum Card,Expense,True,WALMART ONLINE ORDER #A3KOMS
2018-05-09,Credit Card Payment,601.4,credit,Credit Card Payment,Platinum Card,Transfer,False,UNKNOWN MERCHANT #NCYRCD
2018-05-09,Credit Card Payment,601.4,debit,Credit Card Payment,Checking,Transfer,False,UNKNOWN MERCHANT #M4EEU4
2018-05-09,Spotify,10.69,debit,Music,Platinum Card,Expense,False,SPOTIFY PREMIUM #7PCS62
2018-05-09,Gas Company,30.0,debit,Utilities,Checking,Expense,False,CITY ELECTRIC BILL #7CLU4Z
2018-05-10,Phone Company,111.18,debit,Mobile Phone,Checking,Expense,False,T-MOBILE PAYMENT #QMRZG7
2018-05-11,Grocery Store,57.32,debit,Groceries,Platinum Card,Expense,False,WALMART SUPERCENTER #PO1QHB
2018-05-11,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,Income,False,UNKNOWN MERCHANT #NSVX7E
2018-05-11,Mike's Construction Co.,8000.0,debit,Home Improvement,Checking,Expense,False,HOME DEPOT 5244 #NM5VWK
2018-05-12,Liquor Store,27.77,debit,Alcohol & Bars,Platinum Card,Expense,True,TIPSY TAP BAR & GRILL #TI9V6R
2018-05-12,Shell,33.3,debit,Gas & Fuel,Platinum Card,Expense,True,CASEY'S GENERAL STORE 6672 #1HQVY6
2018-05-12,Fancy Restaurant,78.0,debit,Restaurants,Platinum Card,Expense,True,LOCAL DINER PURCHASE #5Q27U5
2018-05-14,Grocery Store,67.63,debit,Groceries,Silver Card,Expense,False,JEWEL-OSCO #G7CXFF
2018-05-15,Power Company,60.0,debit,Utilities,Checking,Expense,False,NATURAL GAS SERVICE #MCR37U
2018-05-17,Barbershop,29.0,debit,Haircut,Silver Card,Expense,False,LOCAL BARBER SHOP #0FK7GG
2018-05-17,City Water Charges,35.0,debit,Utilities,Checking,Expense,False,WATER DEPARTMENT PAYMENT #SPVMBI
2018-05-18,State Farm,75.0,debit,Auto Insurance,Checking,Expense,False,GEICO INSURANCE PAYMENT #SH2TSW
2018-05-18,Amazon,6.41,debit,Shopping,Platinum Card,Expense,False,TARGET STORE 1456 #NSX42C
2018-05-19,Credit Card Payment,207.08,credit,Credit Card Payment,Platinum Card,Transfer,True,UNKNOWN MERCHANT #60CB9O
2018-05-19,Grocery Store,31.0,debit,Groceries,Silver Card,Expense,True,WALMART SUPERCENTER #YW93SB
2018-05-19,Greek Restaurant,23.26,debit,Restaurants,Silver Card,Expense,True,CHILI'S GRILL & BAR #RYKM8N
2018-05-21,Credit Card Payment,283.07,credit,Credit Card Payment,Silver Card,Transfer,False,UNKNOWN MERCHANT #YYT9H8
2018-05-21,Thai Restaurant,26.04,debit,Restaurants,Silver Card,Expense,False,LOCAL DINER PURCHASE #U2PUCE
2018-05-21,Amazon,32.5,debit,Shopping,Platinum Card,Expense,False,WALMART ONLINE ORDER #6P3DH4
2018-05-22,Credit Card Payment,283.07,debit,Credit Card Payment,Checking,Transfer,False,UNKNOWN MERCHANT #FGQXRD
2018-05-24,BP,39.44,debit,Gas & Fuel,Silver Card,Expense,False,SHELL OIL #QQL5Z3
2018-05-25,Internet Service Provider,74.99,debit,Internet,Checking,Expense,False,CHARTER SPECTRUM #FU4L3G
2018-05-25,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,Income,False,UNKNOWN MERCHANT #YDTSR4
2018-05-28,Movie Theater,9.62,debit,Entertainment,Silver Card,Expense,False,HULU STREAMING SERVICE #NNIM9Z
2018-05-28,Grocery Store,91.03,debit,Groceries,Silver Card,Expense,False,WALMART SUPERCENTER #MINRZQ
2018-05-29,Movie Theater,20.0,debit,Movies & DVDs,Silver Card,Expense,False,AMC THEATERS TICKET #02TK6Q
2018-05-29,Movie Theater,6.25,debit,Movies & DVDs,Silver Card,Expense,False,REGAL CINEMAS #38V0W6
2018-06-01,BP,38.63,debit,Gas & Fuel,Platinum Card,Expense,False,CASEY'S GENERAL STORE 6672 #LEJOAN
2018-06-01,Grocery Store,6.11,debit,Groceries,Platinum Card,Expense,False,TARGET GROCERY #EAG1FR
2018-06-01,Amazon,13.13,debit,Shopping,Platinum Card,Expense,False,WALMART ONLINE ORDER #MFQUN8
2018-06-02,Credit Card Payment,235.18,credit,Credit Card Payment,Silver Card,Transfer,True,UNKNOWN MERCHANT #UBFOWT
2018-06-02,Credit Card Payment,466.36,credit,Credit Card Payment,Platinum Card,Transfer,True,UNKNOWN MERCHANT #QGM08Z
2018-06-03,Italian Restaurant,65.81,debit,Restaurants,Platinum Card,Expense,True,CHILI'S GRILL & BAR #A28VE5
2018-06-04,Credit Card Payment,235.18,debit,Credit Card Payment,Checking,Transfer,False,UNKNOWN MERCHANT #Z3TZ7W
2018-06-04,Grocery Store,24.12,debit,Groceries,Platinum Card,Expense,False,WALMART SUPERCENTER #8MDMD9
2018-06-04,Mortgage Payment,1247.44,debit,Mortgage & Rent,Checking,Expense,False,ZILLOW RENT PORTAL #PPB892
2018-06-04,Netflix,11.76,debit,Movies & DVDs,Platinum Card,Expense,False,FANDANGO MOVIE PURCHASE #LNTU8N
2018-06-06,Starbucks,4.0,debit,Coffee Shops,Platinum Card,Expense,False,PEET'S COFFEE ROASTERS #VZ0ME6
2018-06-08,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,Income,False,UNKNOWN MERCHANT #UR4L9Z
2018-06-08,Gas Company,30.0,debit,Utilities,Checking,Expense,False,NATURAL GAS SERVICE #LXYZFS
2018-06-09,Chick-Fil-A,16.18,debit,Fast Food,Platinum Card,Expense,True,CHIPOTLE MEXICAN GRILL #6O2DKP
2018-06-09,Grocery Store,9.56,debit,Groceries,Platinum Card,Expense,True,JEWEL-OSCO #S7LRZ2
2018-06-09,Spotify,10.69,debit,Music,Platinum Card,Expense,True,APPLE MUSIC SUBSCRIPTION #3IWPGO
2018-06-10,Grocery Store,46.01,debit,Groceries,Platinum Card,Expense,True,JEWEL-OSCO #RGG0F0
2018-06-12,Grocery Store,12.55,debit,Groceries,Platinum Card,Expense,False,JEWEL-OSCO #KQBCFP
2018-06-12,Phone Company,89.46,debit,Mobile Phone,Checking,Expense,False,T-MOBILE PAYMENT #SX3NTL
2018-06-14,Credit Card Payment,283.44,credit,Credit Card Payment,Platinum Card,Transfer,False,UNKNOWN MERCHANT #LE2TEX
2018-06-14,Credit Card Payment,283.44,debit,Credit Card Payment,Checking,Transfer,False,UNKNOWN MERCHANT #X9QQJ3
2018-06-14,Grocery Store,7.02,debit,Groceries,Platinum Card,Expense,False,WALMART SUPERCENTER #FGX18L
2018-06-15,Power Company,60.0,debit,Utilities,Checking,Expense,False,CITY ELECTRIC BILL #AX6MF1
2018-06-16,Starbucks,3.0,debit,Coffee Shops,Platinum Card,Expense,True,DUNKIN #34567 #KVNGRL
2018-06-16,Pizza Place,22.66,debit,Fast Food,Platinum Card,Expense,True,TACO BELL #2231 #WKOQP9
2018-06-16,Grocery Store,13.9,debit,Groceries,Platinum Card,Expense,True,WALMART SUPERCENTER #QX1R6P
2018-06-18,City Water Charges,35.0,debit,Utilities,Checking,Expense,False,WATER DEPARTMENT PAYMENT #0GZWBX
2018-06-19,Shell,38.52,debit,Gas & Fuel,Platinum Card,Expense,False,MOBIL FUEL STATION #5I87KU
2018-06-19,Grocery Store,2.69,debit,Groceries,Platinum Card,Expense,False,TARGET GROCERY #5TXH2R
2018-06-20,State Farm,75.0,debit,Auto Insurance,Checking,Expense,False,PROGRESSIVE INSURANCE #RKYNCB
2018-06-20,Credit Card Payment,89.45,credit,Credit Card Payment,Silver Card,Transfer,False,UNKNOWN MERCHANT #H5SB35
2018-06-20,Barbershop,30.0,debit,Haircut,Silver Card,Expense,False,LOCAL BARBER SHOP #IWMP75
